sample_id,material_name,material_class_original,chemical_composition_original,architecture_descriptor,composition_type_std,primary_material_family,primary_material_group,secondary_material_family,secondary_material_group,tertiary_material_family,tertiary_material_group,composition_descriptor_std,n_detected_material_families,contains_synthetic_polymer,contains_inorganic,contains_carbonaceous,contains_polysaccharide,contains_protein,contains_fluoropolymer,contains_silica,contains_mof,contains_silver,contains_antimicrobial_additive,contains_support_substrate,is_commercial_reference,source,solid_content (g/100ml),skeletal_density (g/cm3),porosity (%),permeability (m2),bet_surface_area (m2/g),average_pore_size (nm),fiber_diameter (nm),filtration_efficiency (%),pressure_drop (mmH2O/cm),airflow_rate (cm/s),sample_thickness (mm),average_particle_size (nm),quality_factor (mmH2O^-1),bulk_density (g/cm3)
kevlar_aerogel1,kevlar aerogel,kevlar aerogel,PPTA,monolithic_aerogel,synthetic_polymer,kevlar_ppta,synthetic_polymer,,,,,kevlar_ppta,1,1,0,0,0,0,0,0,0,0,0,0,0,A. Agrawal dissertation,1,1.48,98.9,2.00E-09,326,,32,99.5,,50,5,75,,0.016
sPS-0.010,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,1,1.056,98.11,9.74E-10,,,,93.468,9.7,50,3.75,75,0.750091274,0.02
sPS-0.015,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,1.5,1.056,97.63,9.42E-10,,,,95.86,10.1,50,3.75,75,0.84078532,0.025
sPS-0.020,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,2,1.056,97.16,8.17E-10,,,,98.889,11.6,50,3.75,75,1.034461994,0.03
sPS-0.025,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,2.5,1.056,96.78,7.71E-10,,,,99.734,12.3,50,3.75,75,1.285513096,0.034
sPS-0.030,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,3,1.056,96.02,7.40E-10,,,,99.998,12.8,50,3.75,75,2.254120476,0.042
sPS-0.040,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,4,1.056,94.79,6.74E-10,,,,99.998,14.1,50,3.75,75,2.046293765,0.055
sPS-0.050,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,5,1.056,94.22,6.62E-10,,,,99.998,14.3,50,3.75,75,2.017674272,0.061
sPS-0.060,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,6,1.056,92.99,5.99E-10,,,,99.998,15.8,50,3.75,75,1.826122917,0.074
sPS-0.070,sPS aerogel,sPS aerogel,d-form syndiotactic polystyrene,monolithic_aerogel,synthetic_polymer,sps,synthetic_polymer,,,,,sps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2015.11.005,7,1.056,91.19,5.39E-10,,,,99.998,17.6,50,3.75,75,1.639360346,0.093
